,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
0,60144.92753623189,138.0,departamento,2.0,3.0,2.0, Polanco, Miguel Hidalgo,19.4377338,-99.1926309
1,1333.3333333333333,900.0,departamento,3.0,3.0,3.0, Bosque de las Lomas, Miguel Hidalgo,19.3989258626,-99.2474487114
2,46308.72483221477,298.0,departamento,3.0,3.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3855147,-99.2533303
3,36875.0,160.0,departamento,3.0,2.0,2.0, Los Cipreses, Coyoacán,19.3189651,-99.1265575
4,66573.03370786516,178.0,departamento,3.0,2.0,2.0, Polanco, Miguel Hidalgo,19.4379756,-99.2127734
5,46090.53497942387,243.0,departamento,3.0,3.0,1.0, Condesa, Cuauhtémoc,19.4162384,-99.1730557
6,5500.0,180.0,departamento,2.0,2.0,2.0, Polanco, Miguel Hidalgo,19.4341981118,-99.206361189
7,40540.54054054054,333.0,departamento,3.0,3.0,2.0, Lomas de Vista Hermosa, Cuajimalpa de Morelos,19.3690754,-99.2843061
8,72033.89830508475,118.0,departamento,2.0,3.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4417938,-99.2038854
9,104651.16279069768,172.0,departamento,2.0,2.0,2.0, Polanco, Miguel Hidalgo,19.4327409,-99.198231
10,2562.674094707521,359.0,departamento,3.0,4.0,4.0, Lomas de Bezares, Miguel Hidalgo,19.3913385,-99.2453651
11,34500.0,200.0,departamento,2.0,2.0,2.0, Olivar de los Padres, Alvaro Obregón,19.339689,-99.2158257
12,46633.333333333336,300.0,departamento,3.0,3.0,2.0, Tlacopac, Alvaro Obregón,19.3529057,-99.1961354
13,68181.81818181818,220.0,departamento,3.0,3.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4416816,-99.2037946
14,2375.0,1200.0,departamento,4.0,4.0,5.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.4118641,-99.2359917
15,81428.57142857143,70.0,departamento,1.0,1.0,1.0, Ampliación Granada, Miguel Hidalgo,19.44173998866433,-99.20454208360592
16,34906.542056074766,107.0,departamento,2.0,1.0,1.0, Santa María la Ribera, Cuauhtémoc,19.4545648,-99.1558995
17,72272.72727272728,110.0,departamento,2.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4423928,-99.20240939999996
18,100000.0,300.0,departamento,4.0,3.0,2.0, Lomas de Chapultepec, Miguel Hidalgo,19.4207702,-99.2299221
19,28214.285714285717,56.0,departamento,2.0,1.0,1.0, Santo Domingo, Azcapotzalco,19.4887086,-99.1905974
20,115000.0,200.0,departamento,3.0,3.0,3.0, Polanco, Miguel Hidalgo,19.4350916532,-99.2039084434
21,2285.714285714286,350.0,departamento,3.0,3.0,4.0, Bosque de las Lomas, Miguel Hidalgo,19.3920248319,-99.2650595751
22,63333.333333333336,90.0,departamento,3.0,2.0,2.0, Hipódromo Condesa, Cuauhtémoc,19.4100169778,-99.1673825518
23,39365.07936507936,315.0,departamento,2.0,2.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3860703,-99.2556046
24,28151.26050420168,119.0,departamento,2.0,2.0,1.0, San Pedro de los Pinos, Benito Juárez,19.3923194,-99.1882604
25,85714.28571428571,70.0,departamento,1.0,1.0,1.0, Ampliación Granada, Miguel Hidalgo,19.44173998866433,-99.20454208360592
