,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
0,60144.92753623189,138.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4377338,-99.1926309
1,104651.16279069768,172.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4327409,-99.198231
2,85919.54022988505,174.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436965,-99.197446
3,5092.622950819672,183.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4352979099,-99.2004541
4,93125.0,160.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
5,5193.385650224215,223.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
6,93125.0,160.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
7,85919.54022988505,174.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436965,-99.197446
8,5955.555555555556,270.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
9,5955.555555555556,270.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
10,64748.20143884892,556.0,departamento,3.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
11,6207.434944237918,538.0,departamento,4.0,4.0,5.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
12,60144.92753623189,138.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4377338,-99.1926309
13,6207.434944237918,538.0,departamento,4.0,4.0,5.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
14,2833.333333333333,240.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4318149,-99.1940586
15,104651.16279069768,172.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4327409,-99.198231
16,72222.22222222222,180.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4325705,-99.1918337
17,5092.622950819672,183.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4352979099,-99.2004541
18,5426.712328767123,219.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43521697,-99.2004541
19,85919.54022988505,174.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436965,-99.197446
20,4927.510917030568,229.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
21,64748.20143884892,556.0,departamento,3.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
22,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
23,5794.223826714801,277.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
24,94836.95652173914,368.0,departamento,3.0,4.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349553,-99.200657
25,76546.875,64.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
26,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432827735504983,-99.19909558650818
27,56478.40531561462,301.0,departamento,4.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4359961,-99.1980942
28,89361.70212765958,235.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.434680358431343,-99.19822116931152
29,106451.6129032258,62.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
30,59090.90909090909,110.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
31,6701.030927835051,194.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
32,5121.293800539083,371.0,departamento,3.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
33,92715.23178807949,151.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
34,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432827735504983,-99.19909558650818
35,77709.63742690059,342.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4373475,-99.1965392
36,74786.32478632478,234.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4360469,-99.1922883
37,60885.60885608856,542.0,departamento,4.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.434735663479568,-99.19174786931153
38,75000.0,160.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4345355,-99.1909392
39,94900.62790697676,172.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
40,111888.11188811187,143.0,departamento,1.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
41,7068.062827225131,191.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4346174,-99.2005766
42,77397.2602739726,219.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349817,-99.1925321
43,100000.0,138.0,departamento,2.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436903271489165,-99.19384996560667
44,59615.38461538462,130.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43594976120935,-99.1915976656067
45,4384.369230769231,455.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
46,102926.524,250.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436909,-99.1965969
47,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432827735504983,-99.19909558650818
48,4969.69696969697,165.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4374069,-99.1949889
49,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332601,-99.1990898
50,74166.66666666667,240.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
51,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4345835292,-99.198153019
52,94117.64705882352,170.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
53,83068.78306878307,189.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
