,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
7617,7617,10120.967741935485,248.0,casa,3.0,4.5,3.0,BARRANCA SECA,LA MAGDALENA CONTRERAS,19.3064,-99.23816
8089,8089,11503.064220183487,109.0,casa,3.0,2.0,3.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
1134,1134,2827.3809523809523,336.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933352,-99.2602401
1129,1129,2827.3809523809523,336.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933352,-99.2602401
6046,6046,85000.0,100.0,departamento,3.0,2.0,3.0,STA CRUZ ATOYAC,BENITO JUAREZ,19.3645003,-99.1616156
8384,8384,2825.065274151436,383.0,casa,3.0,3.0,3.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
4371,4371,83582.0895522388,134.0,departamento,3.0,2.0,3.0,GRANADA,MIGUEL HIDALGO,19.439641,-99.1995083
2816,2816,57500.0,200.0,departamento,2.0,2.0,3.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3598401286,-99.269882114
6352,6352,3702.881844380403,347.0,departamento,3.0,2.0,3.0,GUADALUPE INN,ALVARO OBREGON,19.3586981,-99.1885424
671,671,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4416816,-99.2037946
693,693,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4416816,-99.2037946
8622,8622,9029.469696969696,264.0,casa,3.0,2.0,3.0,SAN JUAN DE ARAGON 2A SECCION (U HAB) II,GUSTAVO A. MADERO,19.45657,-99.08867
639,639,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4416816,-99.2037946
