|id|precio_m2|precio|moneda|precio_MXN|mantenimiento|superficie_total|superficie_cubierta|colonia|alcaldia|direccion|dormitorios|baños|cocheras|anunciante|url|google_src|lat|lng
0|0||4100000|4100000|N/A||||San Ángel| Alvaro Obregón|Boulevard Adolfo Lopez Mateos 1970 Los Alpes, San Ángel, Alvaro Obregón||||N/A|https://www.inmuebles24.com/propiedades/nova-san-angel-56173202.html|//maps.google.com/maps/api/staticmap?center=19.359719101777088,-99.192007320098870&zoom=16&markers=19.359719101777088,-99.192007320098870&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=0Pz4YaEfW8kovddyDnSKu7MOG2U=&channel=rpfic-i24|19.359719101777088|-99.19200732009888
1|1||7900000|7900000|N/A||||Bosques de las Lomas| Cuajimalpa de Morelos|Bosque de las Lomas, Bosques de las Lomas, Cuajimalpa de Morelos||||N/A|https://www.inmuebles24.com/propiedades/nova-lifestyle-bosques-56703094.html|//maps.google.com/maps/api/staticmap?center=19.390416200000000,-99.255000300000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=i2h89PyIL6vcJUZbIiaVM1rYWMI=&channel=rpfic-i24|19.3904162|-99.2550003
2|2||18407502|18407502|N/A||||Polanco| Miguel Hidalgo|Alfredo de Musset 326, Polanco, Miguel Hidalgo||||Musset 326|https://www.inmuebles24.com/propiedades/musset-326-60485213.html|//maps.google.com/maps/api/staticmap?center=19.436881300000000,-99.196633999999990&zoom=16&markers=19.436881300000000,-99.196633999999990&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=eDXgFoYClGK2FDaS2p0kKUCU0mo=&channel=rpfic-i24|19.4368813|-99.196634
3|3||4676520|4676520|N/A||||Roma Norte| Cuauhtémoc|Coahuila 193, Roma Norte, Cuauhtémoc||||N/A|https://www.inmuebles24.com/propiedades/pre-venta-en-colonia-roma-norte-excelentes-acabados-60814866.html|//maps.google.com/maps/api/staticmap?center=19.410923100000000,-99.165172200000000&zoom=16&markers=19.410923100000000,-99.165172200000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=F30cV3L3u9SKxCoZ7qt2gMxLIoo=&channel=rpfic-i24|19.4109231|-99.1651722
4|4||3317050|3317050|N/A||||San Pedro de los Pinos| Benito Juárez|PATRIOTISMO 307, San Pedro de los Pinos, Benito Juárez||||N/A|https://www.inmuebles24.com/propiedades/gran-pre-venta-en-patriotismo-307-unica-oportunidad-59013525.html|//maps.google.com/maps/api/staticmap?center=19.393289600000000,-99.181658200000020&zoom=16&markers=19.393289600000000,-99.181658200000020&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=BKi16UoX5WMXa2ho7i6M0DwkDY8=&channel=rpfic-i24|19.3932896|-99.18165820000002
5|5|60144.92753623189|8300000|8300000|N/A|3700.0|138.0|138.0| Polanco| Miguel Hidalgo|Ejército Nacional,  Polanco, Miguel Hidalgo|2.0|3.0|2.0|CGC BIENES RAICES|https://www.inmuebles24.com/propiedades/departamento-en-la-mejor-ubicacion-plusvalia-amplios-59561276.html|//maps.google.com/maps/api/staticmap?center=19.437733800000000,-99.192630899999997&zoom=16&markers=19.437733800000000,-99.192630899999997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=DAcO78EECXDd4Bbg-sBcQ8GOKbs=&channel=rpfic-i24|19.4377338|-99.1926309
6|6|1333.3333333333333|1200000|23760000.0|N/A||900.0|754.0| Bosque de las Lomas| Miguel Hidalgo|BOSQUE DE OLIVOS,  Bosque de las Lomas, Miguel Hidalgo|3.0|3.0|3.0|Grupo Epinet, S.A. de C.V.|https://www.inmuebles24.com/propiedades/casa-en-renta-y-venta-bosque-de-las-lomas-jardin-58825445.html|//maps.google.com/maps/api/staticmap?center=19.398925862599998,-99.247448711399997&zoom=16&markers=19.398925862599998,-99.247448711399997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=1Y2dNjC80m49SatqWwsSqDoTjd0=&channel=rpfic-i24|19.3989258626|-99.2474487114
7|7|46308.724832214764|13800000|13800000|N/A|7000.0|298.0|298.0| Bosques de las Lomas| Cuajimalpa de Morelos|Bosques de las Lomas Residencial Carrimon Departamento en Venta (gr),  Bosques de las Lomas, Cuajimalpa de Morelos|3.0|3.0|3.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/bosques-de-las-lomas-residencial-carrimon-departamento-61324393.html|//maps.google.com/maps/api/staticmap?center=19.385514700000001,-99.253330300000001&zoom=16&markers=19.385514700000001,-99.253330300000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=fq5ilM8Q-RalNMd4ynMkpOVw8m4=&channel=rpfic-i24|19.3855147|-99.2533303
8|8||25000000|25000000|N/A|||303.0| Polanco| Miguel Hidalgo|ARQUIMEDES 138,  Polanco, Miguel Hidalgo|3.0|3.0|2.0|HORIZONTES BIENES RAICES|https://www.inmuebles24.com/propiedades/departamento-en-venta-en-polanco-61728611.html|//maps.google.com/maps/api/staticmap?center=19.434220000000000,-99.191017699999970&zoom=16&markers=19.434220000000000,-99.191017699999970&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=8MDT51phW7Ix5NUD9Wq3VzSQ8KI=&channel=rpfic-i24|19.43422|-99.19101769999997
9|9|36875.0|5900000|5900000|N/A||160.0|258.0| Los Cipreses| Coyoacán|José Balbuena vera 51,  Los Cipreses, Coyoacán|3.0|2.0|2.0|Furchtgott Grupo Inmobiliario|https://www.inmuebles24.com/propiedades/casa-en-venta-coyoacan-61610979.html|//maps.google.com/maps/api/staticmap?center=19.318965100000000,-99.126557499999990&zoom=16&markers=19.318965100000000,-99.126557499999990&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=X-MSozCnglfkm8Bl1ksLQBRMglA=&channel=rpfic-i24|19.3189651|-99.1265575
