,bathrooms,bedrooms,rooms_total,building_size,car_spaces,category,furnished,location,land_size,price,id,subcategory,year_built,description,link
0,7,3,unknown,896,16,casa,,"[-99.20628,19.32237]",1198,45100000,HO611C298F6DFC8MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa con acabados de lujo, con un estilo moderno:  -1198m2 de terreno -896m2 de construcción -Casa distribuida en 3 plantas -3 recámaras cada una con baño y estidor -7 baños completos en total -Sala-comedor con excelente distribución -Salón de eentos -Estudio -Sala de T -Cocina totalmente equipada de lujo -Baño sauna -Jardín en excelentes condiciones -Cuarto de sericio -16 lugares de estacionamiento -La casa cuenta con calefacción, pisos de mármol y madera y celdas solares.   Una casa única, con acabados de lujo y estado de conseración excelente.PRECIO EN USD (2,250,000.00 USD)",https://www.lamudi.com.mx/se-vende-casa-en-jardines-del-pedregal-7.html
1,2,3,unknown,345,3,casa,,"[-99.06441,19.46861]",227,4250000,HO611D610A06922MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa en san Juan de Aragón sexta sección, de 345 metros de construcción y 227 metros de terreno, ubicada en esquina y frente al parque; consta de 3 recámaras con closets, estudio, estancia sala comedor, cocina, dos baños, patio trasero, 3 lugares de estacionamiento, área de lavado, bodega, cisterna. Su precio de $4,250,000 a tratar y se escuchan ofertas serias. La casa es para actualizar con excelentes espacios y muy luminosa. Citas para mostrarla cualquier día incluidos fines de semana con previa cita a Inmobiliaria Kalog al  también contestamos WhatsApp, trabajamos los 365 días del año con previa cita.",https://www.lamudi.com.mx/casa-en-san-juan-de-aragon-sexta-seccion-3-recamaras.html
2,3,3,unknown,600,5,casa,,"[-99.2977,19.34711]",328,17800000,HO5FDC2A098BEB9MX,"[""casa"",""casa-en-condominio""]",unknown,"Increíble casa en conjunto con vigilancia. Prácticamente nueva, rediseñada y decorada con excelente gusto.despensas y anaqueles nuevos, de lujo, con todo el espacio para guardar.estudio con escritorio integrado. 3 recámaras, todas con grandes espacios, con vestidor y baño cada una.el piso de arriba, es un área cerrada de 100m2, con baño y terraza con pérgola. Ideal como salón, área de juegos o de trabajo.totalmente equipada. Calefacción con piso radiante y reguladores independientes en cada habitación.toda la casa fué impermeabilizada desde los cimientos (tipo alberca), para evitar humedades, cisterna, calentador solar, filtros de agua, doble tinaco, regulador de picos.",https://www.lamudi.com.mx/increible-casa-en-contadero-como-nueva-de-disenadora.html
3,3,3,unknown,211,3,casa,,"[-99.1705,19.36145]",272,11900000,HO611ED0665E394MX,"[""casa"",""casa-unifamiliar""]",unknown,Casa de 2 niveles Garage amplio para 3 autos Estancia comedor medio baño Cocina integral Patio trasero cuarto de servicio 3 amplias recámaras estudio 2 baños completos   Sujeta de crédito y contado  Citas con 24 horas de anticopación Vialidades Río Churubusco y Av. México,https://www.lamudi.com.mx/bonita-casa-en-del-carmen-coyoacan-1.html
4,7,4,11,1900,21,casa,,"[-99.250223,19.4051222]",1557,38900000,HO61161DB802E26MX,"[""casa"",""casa-unifamiliar""]",2021,"Extraordinaria residencia de 1557 m2 de terreno y 1900 m2 de construcción. Terreno plano y con acceso por dos calles de estilo contemporáneo en excelente estado de conservación y magníficos acabados de madera y mármoles de importación. En el primer nivel: Consta de 3 salas con chimenea, terraza cerrada, biblioteca con chimenea, bar con cava, 2 baños  de visitas, comedor, cocina, antecomedor, pantry y alacena. En el área exterior cuenta con caseta de vigilancia para 6 automóviles. El segundo nivel consta de 3 recamaras con baño y vestidor cada una. La recamara principal cuenta con baño con jacuzzi y dos vestidores. Sala de Tv con chimenea y balcón. El primer nivel descendente consta de alberca techada, gimnasio, baños para hombres y mujeres, cuarto de juegos, vapor y sauna, bodega y dos cuartos de servicio. Jardín plano de 250 m2 superficie, terraza y kiosko. El segundo nivel descendente consta de un área de usos múltiples y estacionamiento para 15 automóviles que el acceso es por la calle de atrás. EasyBroker ID: EB-IF3362",https://www.lamudi.com.mx/rematamos-hermosa-residencia-a-precio-de-terreno-en-bosques-de-las-lomas.html
5,2.5,3,unknown,170,2,casa,,"[-99.2894266,19.3604309]",100,4150000,HO610BF9D6AAC32MX,"[""casa"",""casa-en-condominio""]",unknown,"Completísima casa de tres recámaras, 2.5wc., 2 estacionamientos Súper bien mantenida y renovada Caminando a centros comerciales, escuelas, al parque..., a un paso de Santa Fe, Bosques, Interlomas. Recámara principal enorme con gran vestidor. Luminosa y práctica ¡Conózcala!",https://www.lamudi.com.mx/ubicadisima-casa-muy-completa-y-renovada-en-condominio-super-precio.html
6,2,unknown,2,320,unknown,casa,,"[-99.1409995034,19.3011202115]",96,8850000,HO611CB1B1ECB82MX,"[""casa"",""casa-unifamiliar""]",2003,"Gran oportunidad, casa en cuatro pisos a espaldas del Colegio México, y a dos cuadras de Paseo Acoxpa, Hospital Angeles y del FUCAM. Ideal para AIR B&B. O consultorios , En la planta que da a la calle son 4 locales comerciales cada uno con medio baño que pueden ser estacionamientos  En el PRIMER PISO son 4 locales / oficina /o recamaras  con 1 medio baño común y 1 baño completo común y cocina En el SEGUNDO PISO son 4 locales /oficinas/ o recamaras,  con 1 medio baño común En el TERCER PISO se encuentra un departamento completo con 2 recamaras roof y baño completo. EasyBroker ID: EB-IG3549",https://www.lamudi.com.mx/casa-en-venta-con-comercios-en-santa-ursula-coapa-2.html
7,2,3,unknown,180,2,casa,,"[-99.25103,19.35026]",200,6900000,HO611EF6341D1E7MX,"[""casa"",""casa-en-condominio""]",unknown,"Extraoridnaria casa en venta en residencial tarango, alvaro obregon, en condominio horizontal, seguridad las 24 hr. Sobre av. Centenario, a 5 min. De santa fe, tec de monterrey, en un ambiente muy seguro, la casa consta de 200 m2 de terreno, 180 m2 de cosntruccion, 3 recamaras, dos baños, estancia con chimenea, comedor y cocina integral, patio trasero como terraza, cuarto de servicio con baño, cto. De lavado, bodega en azotea, dos lugares de estacionamiento, jardin para eventos, lista para habitar, se acepta cualquier credito.",https://www.lamudi.com.mx/casa-en-venta-alvaro-obregon-residencial-tarango.html
8,2.5,3,unknown,125,2,casa,,"[-99.23219,19.34179]",162,4850000,HO611D2F9D3BF56MX,"[""casa"",""casa-en-condominio""]",unknown,"Hermosa casa en condominio a una cuadra de Desierto de los leones, cuenta con 2 plantas; en el piso superior se ubican 2 recámaras y un family room (puede ser la 3 habitación), 2 baños completos. En la planta baja se ubica una amplia estancia con medio baño de visitas, el comedor y la sala, desde donde se ven hermosas vistas al jardin. La cocina es de muy buen tamaño y con isla imtegrada. Además del encantador jardín cuenta con 2 lugares de estacionamiento. El condominio tiene vigilancia las 24 horas y circuito cerrado. Goza la tranquilidad del silencio y estar rodeado de arboles.",https://www.lamudi.com.mx/hermosa-casa-en-tetelpan.html
9,4,4,8,876,4,casa,,"[-99.2039725,19.3006043]",465,29900000,HO611CB1F7E4584MX,"[""casa"",""casa-unifamiliar""]",2021,"- vestíbulo recibidor,  baño y closet de visitas.  - sala, comedor, estudio o biblioteca y sala de televisión. - cocina integral con alacena, barra y antecomedor. - salón de juegos con barra-cantina, 2 medios baños y cava. - gimnasio con vapor y baño con tina jacuzzy.   - 1 recámara principal con vestidor muy amplio y baño con jacuzzy. - 1 recámara con baño y vestidor.  - 2 recámaras con closet cada una y un baño - 2 cuartos de servicio con baño cada uno y cuarto de lavado. - garage para 4 autos (2 cubiertos), bodega y cuarto de herramientas. - jardín con asador de carnes que se integra al salón de juegos. EasyBroker ID: EB-IG0941",https://www.lamudi.com.mx/en-venta-y-renta-hermosa-residencia-con-amplios-espacios.html
