,bathrooms,bedrooms,rooms_total,building_size,car_spaces,category,furnished,coordinates,location,land_size,price,id,subcategory,year_built,description,link
0,1,1,1,73,0,departamento,,"[-99.1534888,19.43013]","Juárez, Cuauhtémoc",unknown,4300000,AP611B5553D60CEMX,"[""departamento"",""departamentos""]",2021,"Venta departamento Gral Prim  Col Juarez  (LG/JS)   Cuenta  con 73 mts  sala comedor, cocina ,  1 recamara , con vestido, TERRAZA y  bodega. En el corazón de la colonia Juárez a solo dos cuadras de reforma e insurgentes, edificio estilo ART DECO, totalmente remodelado.",https://www.lamudi.com.mx/colonia-juarez-venta-departamento-nuevo-en-general-prim-lg-js-1.html
1,1,1,unknown,53,1,departamento,,"[-99.19955,19.33658]","Tizapan, Álvaro Obregón",unknown,3000000,AP6102045EE7950MX,"[""departamento"",""departamentos""]",unknown,"*INCREIBLE DEPARTAMENTO A ESTRENAR EN TIZAPAN SAN ANGEL, ALARO OBREGON* *$ 3,000,000 ENTA* *$ 12,800 RENTA* 53 m2 Superficie 2do. Piso Amplia estancia de Sala y Comedor Cocina integral 1 Recamara 1 Baño 1 Lugar de estacionamiento Eleador Ubicación: Frente alet parking Mantenimiento $ 2,200 (No incluido en la renta) ""Escuelas Cercanas, excelente ubicación""",https://www.lamudi.com.mx/hermoso-departamento-en-tizapan-san-angel.html
2,3,3,3,230,0,departamento,,"[-99.2095378787,19.4357062398]","Polanco, Miguel Hidalgo",unknown,15000000,AP611B5578DE688MX,"[""departamento"",""departamentos""]",2021,"Polanco, departamento a la venta, en Avenida Horacio (VM). Cuenta con 230 mts., sala comedor con TERRAZA, cocina abierta con despensa y refrigerador-congelador, 3 recamaras con baño y vestidor, la principal con terraza, baño de visitas, cuarto de lavado con lavadora y secadora, cuarto de servicio, 2 estacionamientos, mantenimiento $3800 mn. y 1 elevador. Amenidades: gimnasio y roof garden.  Remodelado en su totalidad.",https://www.lamudi.com.mx/polanco-departamento-a-la-venta-con-2-terrazas-en-avenida-horacio-vm-1.html
3,2,2,2,80,0,departamento,,"[-99.2028656,19.4432263]","Granada, Miguel Hidalgo",unknown,4749000,AP611B5521E7196MX,"[""departamento"",""departamentos""]",2021,"Colonia Granada, estupendo departamento a la venta en Lago Andrómaco (LG). Muy bien ubicado, muy soleado y con pisos de madera. Cuenta con 80 mts., estancia, cocina abierta, 2 amplias recámaras con closets, 2 Baños completos, área lavado 2 estacionamientos fijos, mantenimiento $2600 mn. Amenidades: gimnasio, carril de nado, salón de usos múltiples, roof garden y vigilancia 24/7.",https://www.lamudi.com.mx/granada-estupendo-departamento-a-la-venta-en-lago-andromaco-lg-1.html
4,2,2,unknown,63.33,1,departamento,,"[-99.18112,19.48623]","San Marcos, Azcapotzalco",unknown,2014761,AP6120218565FA7MX,"[""departamento"",""condominio-horizontal""]",unknown,"Altos Azcapotzalco está diseñado con la mejor calidad en espacio y materiales, para brindar un entorno seguro, sólido y agradable.  A 15 minutos de Polanco, cerca de la Arena Ciudad de México y del centro de Azcapotzalco.  Este desarrollo esta planificado para contar con los mejores espacios habitables, con modelos, con excelente distribución, pensando en la comodidad de las familias.  Aceptan créditos: ALIADOS / INFONAVIT / COFINAVIT / FOVISSTE Y BANCARIOS.",https://www.lamudi.com.mx/departamento-en-azcapotzalco-2-recamaras-2-banos-acabados-plus.html
5,3,3,unknown,159,2,departamento,,"[-99.136,19.3653]","Narvarte, Benito Juárez",unknown,7200000,AP6123F9306E649MX,"[""departamento"",""departamentos""]",unknown,Ven a conocer este lujoso Garden House en la colonia Narvarte. Cuenta con 159 m2 divididos en:  Sala Comedor Cocina equipada Family Recamara principal con baño Recamara 2 y 3 con baño Cuarto de lavado Terraza/Balcon 2 cajones de estacionamiento,https://www.lamudi.com.mx/exclusivo-y-lujoso-garden-house-de-159-m2.html
6,1,2,unknown,72,1,departamento,,"[-99.04637,19.39128]","Tepalcates, Iztapalapa",unknown,980000,AP6123D99D2B64AMX,"[""departamento"",""departamentos""]",unknown,Hermoso departamento en planta baja 2 recámaras Estancia Sala - comedor Cocina Área de lavado Baño completo Patio trasero,https://www.lamudi.com.mx/departamento-en-planta-baja-49.html
7,3,2,unknown,117,1,departamento,,"[-99.22635,19.30798]","Pedregal del Lago, Tlalpan",unknown,4100000,AP60CCD7D6A2713MX,"[""departamento"",""departamentos""]",unknown,"Excelente oportunidad para iir agusto, con excelente ubicación a solo unas cuadras de periférico sur y a unos pasos del hospital ángeles del pedregal, ideal para una familia que empieza con toda la ilusión de inertir por primera ez y que desea buena ubicación, con los beneficios de iir en esta zona con centros comerciales, zona boscosa, lejos del trafico de la ruidosa ciudad. el departamento fue remodelado en 2019, se encuentra en un edifico con magnífica ista al jardín común, la cocina es integral, totalmente acondicionada y equipada, cuenta con barra abierta ala sala comedor, 2 recamaras con agradable balcón cada una, la principal con baño, además un pequeño estudio ideal para poner salita de t.. Con baño completo, 1 estacionamiento cubierto, hermoso jardín común con cancha de futbol, pista para caminar, área de juegos infantiles, asador, además cuenta con excelente igilancia y eleador. Llámanos y con gusto agendamos una cita para que lo conozcas en persona.",https://www.lamudi.com.mx/conjunto-pedregal-del-lago.html
8,1,2,3,59,1,departamento,,"[-96.9594511,19.451938]","Culhuacán CTM Canal Nacional, Coyoacán",unknown,1850000,AP611F51D519E22MX,"[""departamento"",""departamentos""]",1996,"Departamento Exterior P.B Con Jardín alrededor y garage para un auto, asignado no escriturado  2 recamaras con tubos en los closets  1 opción para tercer recamara  Sala comedor  1 baño completo  1 estacionamiento, asignado común 1 bodeguita. EasyBroker ID: EB-IG8903",https://www.lamudi.com.mx/departamento-en-venta-col-culhuacan-coyoacan.html
9,2,3,unknown,86,1,departamento,,"[-99.167668,19.389164]","Del Valle, Benito Juárez",unknown,3700000,AP6123FC5BC3255MX,"[""departamento"",""departamentos""]",unknown,"Luminoso apartamento exterior de 86 m2. en edificio bien conservado, con solamente 12 deptos. sexto piso con Elevador.3 recamaras con closet ,2 baños completos, closet de blancos, cocina integral, estancia,cuarto de servicio,1 estacionamiento no fijo, vigilancia las 24 horas, tendederos y lavaderos en último piso Aceptamos Crédito Hipotecário con un enganche mínimo de $1,350,000.00 .",https://www.lamudi.com.mx/en-el-corazon-de-la-del-valle-super-ubicado-y-a-tu-alcance-3r-2b-1e.html
