,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
1,2585000,59,2,1,3,OLIVAR DE LOS PADRES,DEPARTAMENTO OLIVAR DE LOS PADRES EXCELENTE PRECIO PARA INVERSION,LOS PADRES,19.3198377904,19.3198377904
2,4531142,0,2,2,1,NAPOLES,DEPARTAMENTOS EN PREVENTA COL. NAPOLES,NAPOLES,19.3936944672,19.3936944672
3,2850000,0,2,2,1,LA FAMA,"DEPARTAMENTO EN VENTA EN BARRIO LA FAMA, TLALPAN",LA FAMA,19.290834571,19.290834571
4,850000,49,2,1,1,MIXCOATL,VENDO DEPARTAMENTO  EN PLANTA BAJA A 10 MINUTOS DE METRO CONSTITUCION DE 1917,MIXCOATL,19.3250111235,19.3250111235
5,4500000,0,2,1,2,AMP GRANADA,VENTA - DEPARTAMENTO - CITY TOWERS - 64 M2 - PISO 5,GRANADA,19.4399132456,19.4399132456
6,2950000,0,2,2,1,LOMAS DEL CHAMIZAL,VENTA - DEPARTAMENTO - SECRETARIA DE MARINA - 74 M2 - PLANTA BAJA,LOMAS DEL CHAMIZAL,19.3931123205,19.3931123205
7,6950000,0,3,2,0,COL DEL VALLE CENTRO,"DEPARTAMENTO EN VENTA EN DEL VALLE CENTRO, BENITO JUAREZ, DISTRITO FEDERAL",BENITO JUAREZ,19.3296058799,19.3296058799
8,2949996,0,2,2,1,PORTALES SUR,DEPARTAMENTO EN VENTA CON 2 RECAMARAS EN LA COLONIA PORTALES SUR ODD 0289,,,
9,3447369,74,2,2,1,MIXCOAC,"DEPARTAMENTO EN VENTA EN PUNTO MIXCOAC, BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
10,3500000,98,2,1,0,NAPOLES,DEPARTAMENTO EN VENTA CON 2 RECAMARAS EN LA COLONIA NAPOLES ODD 0230,NAPOLES,19.3936944672,19.3936944672
11,2695000,0,2,2,1,ALGARIN,DEPARTAMENTO EN VENTA CON DOS RECAMARAS EN LA COLONIA ALGARIN ODD 0182,ALGARIN,19.4055862513,19.4055862513
12,2650000,0,2,2,1,ALGARIN,"ULTIMO DEPARTAMENTO EN VENTA, VIADUCTO 154, ALGARIN, 2 RECAMARAS.",ALGARIN,19.4055862513,19.4055862513
13,6890000,0,3,2,2,CUAJIMALPA,DEPARTAMENTO CUAJIMALPA ESTADO DE MEXICO,,,
14,960000,105,2,2,2,MOCTEZUMA 2DA SECC,"GRAN APERTURA LA RIOJA DESDE $960,000.00",,,
15,20000000,414,3,3,4+,FLORIDA,ESPECTACULAR CASA EN COLONIA FLORIDA,FLORIDA,19.3570724615,19.3570724615
16,4700000,148,2,2,1,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
17,4519278,124,2,2,2,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
18,6500000,0,2,3,1,ACTIPAN,VENTA O RENTA DEPARTAMENTO CALLE TIGRE COLONIA DEL VALLE CIUDAD DE MEXICO,ACTIPAN,19.3698819161,19.3698819161
19,3797531,0,2,2,0,NARVARTE ORIENTE,"DEPARTAMENTO EN VENTA EN DR BARRAGAN COLONIA NARVARTE CIUDAD DE MEXICO, NUEVO",,,
20,960000,68,3,2,2,JUAREZ,"CASAS EN VENTA DESDE $960,000 A 40 MIN DE POTRERO",JUAREZ,19.4270038256,19.4270038256
21,14000000,102,4,3,3,COL DEL VALLE SUR,"DIVINA CASA EN CONDOMINIO EN MORAS, DEL VALLE SUR BENITO JUAREZ",BENITO JUAREZ,19.3296058799,19.3296058799
22,450000,0,2,3,2,LOMAS DE CHAPULTEPEC III SECC,VENTA - DEPARTAMENTO - LOMAS DE CHAPULTEPEC - 170 M2 - PISO 5,LOMAS DE CHAPULTEPEC,19.4228411174,19.4228411174
23,7500000,1000,3,3,2,LOMAS DE SANTA FE,"SANTA FE.    ,VENTA,   EXCELENTE DEPTO,  AV  SANTA FE",SANTA FE,19.3892631023,19.3892631023
24,5395000,110,1,2,0,HIPODROMO,DEPARTAMENTO EN VENTA COL HIPODROMO,,,
25,17800000,339,3,3,4+,PARQUES DEL PEDREGAL,DEPARTAMENTO NUEVO EN VENTA PEDREGAL 3 RECAMARAS,PARQUES DEL PEDREGAL,19.2998679547,19.2998679547
